City,Name,Category,Address,Distance (meters),Google_Rating,Reviews,Latitude,Longitude
Surat,Subway,Deli,"Ghod Dod Road (Opp. St. Xavier's School), Sūrat 395007, Gujarāt",3155,0,0,21.1433876,72.7947489
Surat,Wok On Fire,Chinese Restaurant,"Adajan Pal Road, Sūrat 793967, Gujarāt",3915,0,0,21.1711832,72.7893335
Surat,Wok On Fire,Chinese Restaurant,"G-2, Golden Square, Nr, Sargam Shopping Centre, Parle Point (Parle Point), Sūrat 395007, Gujarāt",5053,0,0,21.1711832,72.7893335
Surat,Enjoy Restaurant,Asian Restaurant,"Ground Flr, Rajhans Cinema, Surat-Dumas Road, Sūrat 395007, Gujarāt",6971,0,0,10.0823391,99.8242533
Surat,Subway,Deli,"Ghod Dod Road (Opp. St. Xavier's School), Sūrat 395007, Gujarāt",3155,0,0,21.1433876,72.7947489
Surat,Wok On Fire,Chinese Restaurant,"Adajan Pal Road, Sūrat 793967, Gujarāt",3915,0,0,21.1711832,72.7893335
Surat,Wok On Fire,Chinese Restaurant,"G-2, Golden Square, Nr, Sargam Shopping Centre, Parle Point (Parle Point), Sūrat 395007, Gujarāt",5053,0,0,21.1711832,72.7893335
Surat,Enjoy Restaurant,Asian Restaurant,"Ground Flr, Rajhans Cinema, Surat-Dumas Road, Sūrat 395007, Gujarāt",6971,0,0,10.0823391,99.8242533
Nagpur,Barbeque,BBQ Joint,"Sadar (Mount road), Nagpur 931735, Mahārāshtra",1465,0,0,21.1775524,79.0471248
Nagpur,Haldiram's,Indian Sweet Shop,"Anjuman Complex, Haldiram, Nagpur 440001, Maharashtra",1998,0,0,21.1418145,79.082042
Nagpur,Haldiram,Indian Restaurant,"Near Sudama Theatre (Dharampeth), Nagpur 941735, Mahārāshtra",2570,0,0,21.2665445,79.0877337
Nagpur,Barbeque,BBQ Joint,"Sadar (Mount road), Nagpur 931735, Mahārāshtra",1465,0,0,21.1775524,79.0471248
Nagpur,Haldiram's,Indian Sweet Shop,"Anjuman Complex, Haldiram, Nagpur 440001, Maharashtra",1998,0,0,21.1418145,79.082042
Nagpur,Haldiram,Indian Restaurant,"Near Sudama Theatre (Dharampeth), Nagpur 941735, Mahārāshtra",2570,0,0,21.2665445,79.0877337
Chandigarh,Ghazal Restaurant,Indian Restaurant,"189-91, Sector-17, Chandigarh 941735, Chandigarh",571,0,0,30.7391273,76.784807
Chandigarh,Backpackers Cafe,Coffee Shop,"Scf 16, Inner Market, Sector 9D, Chandigarh 160009, Chandigarh",1352,0,0,30.7048722,76.8008267
Chandigarh,Barbeque Nation,BBQ Joint,"39 Madhya Marg Sector 26 (sector 26), Chandigarh 160019, Punjab",1993,0,0,30.7256707,76.8052566
Chandigarh,Ghazal Restaurant,Indian Restaurant,"189-91, Sector-17, Chandigarh 941735, Chandigarh",571,0,0,30.7391273,76.784807
Chandigarh,Backpackers Cafe,Coffee Shop,"Scf 16, Inner Market, Sector 9D, Chandigarh 160009, Chandigarh",1352,0,0,30.7048722,76.8008267
Chandigarh,Barbeque Nation,BBQ Joint,"39 Madhya Marg Sector 26 (sector 26), Chandigarh 160019, Punjab",1993,0,0,30.7256707,76.8052566
